0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,2,68,97,5,6,7,8,9,10,11,12,14,39,96,33,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,13,34,35,36,82,38,75,40,4,42,43,44,3,46,47,48,49,16,66,52,53,54,55,56,57,58,59,60,61,62,63,64,90,69,45,50,92,70,71,72,73,67,37,76,77,78,79,80,81,51,83,84,85,86,87,88,89,74,91,15,93,94,95,65,41,98,99
0,1,2,68,97,98,95,7,76,9,10,11,12,14,39,34,33,17,18,19,96,21,22,23,24,25,26,27,28,29,30,55,32,13,89,35,36,82,38,75,40,4,20,43,44,3,42,92,48,49,16,66,52,53,54,5,56,57,58,59,60,61,62,63,64,90,69,67,78,45,37,50,72,31,71,46,6,77,73,79,80,81,51,83,84,85,86,87,88,8,70,91,15,93,94,47,65,41,74,99
0,1,8,68,97,98,95,39,76,9,41,90,12,14,79,34,33,17,18,19,96,21,22,23,24,25,30,27,28,29,44,37,32,13,89,35,75,82,38,78,40,4,74,43,7,3,2,92,48,49,16,36,52,53,54,5,56,57,58,59,20,61,10,63,64,47,69,67,62,45,11,50,72,31,60,46,6,77,73,66,80,81,51,83,84,85,86,87,88,71,70,91,15,93,94,26,65,42,55,99
0,1,72,68,97,98,63,39,76,9,41,90,12,14,79,34,85,17,18,19,96,52,22,23,24,25,30,27,28,29,44,95,62,13,89,35,75,21,38,78,3,80,74,43,7,5,2,92,48,49,16,36,33,53,54,32,56,57,58,61,69,59,10,40,31,47,15,67,77,45,11,50,37,82,60,46,6,4,73,66,64,81,51,83,84,8,86,87,88,71,70,91,20,93,94,26,65,42,55,99
64,1,72,68,97,98,63,39,76,9,10,90,12,14,69,34,85,52,18,19,71,41,22,23,24,25,30,96,28,29,44,95,62,13,89,46,75,21,79,78,3,80,53,15,7,82,2,92,48,49,16,36,32,43,54,27,56,57,58,61,35,59,26,40,31,47,8,67,77,45,38,50,37,0,60,74,6,4,73,66,33,81,51,83,84,5,86,87,88,17,70,91,20,93,94,11,65,42,55,99
64,57,72,68,97,58,63,39,76,9,10,90,52,14,69,34,85,38,43,19,71,41,22,23,24,25,30,96,28,29,44,6,73,13,89,46,80,21,79,78,3,75,53,15,7,95,2,92,48,32,55,36,81,18,54,27,56,49,87,61,12,59,26,40,31,47,8,67,77,88,98,50,37,0,60,74,45,4,82,66,33,35,51,83,84,5,86,62,16,17,70,91,20,93,94,11,65,42,1,99
20,57,72,68,97,58,63,39,76,9,10,90,52,14,69,38,6,53,43,8,71,33,22,23,89,25,30,2,28,29,44,56,73,13,12,96,80,21,79,78,3,75,4,15,7,95,64,92,48,32,55,36,81,18,54,27,1,49,87,67,24,59,26,34,85,19,31,41,77,88,98,50,37,0,60,74,45,40,82,66,47,35,51,83,84,5,86,62,16,17,70,91,61,93,94,11,65,42,46,99
62,57,72,68,15,16,63,39,76,9,10,90,52,11,69,38,6,99,43,8,71,48,22,23,89,25,30,2,28,29,44,56,73,13,96,97,55,21,78,42,35,75,4,93,7,95,64,77,80,32,12,36,81,18,54,27,1,79,87,67,24,59,26,34,85,19,31,41,92,88,98,50,37,0,60,74,45,40,82,66,47,49,51,83,84,5,86,14,20,17,70,91,61,3,94,33,65,58,46,53
38,57,72,68,15,16,63,39,76,9,10,4,52,11,69,25,6,99,43,70,98,48,22,23,89,93,30,2,28,29,44,56,71,13,96,97,55,21,78,42,35,3,73,1,5,95,8,77,36,32,12,37,81,18,54,27,90,79,87,67,24,75,26,34,85,19,31,41,92,51,82,50,59,0,60,74,45,40,80,66,47,49,62,88,84,7,86,14,20,17,64,91,61,83,94,33,65,58,46,53
38,74,72,68,15,16,63,39,76,9,10,4,61,70,22,25,6,99,43,89,98,17,83,23,34,93,30,48,28,29,44,56,71,13,96,97,55,21,78,42,35,0,84,1,5,67,8,77,36,32,12,37,81,18,54,27,90,79,87,95,24,75,26,88,85,19,31,41,92,51,82,50,59,3,60,73,45,40,80,66,47,49,62,53,52,7,86,69,20,57,14,91,64,58,94,33,65,11,46,2
