0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
67,82,26,68,73,72,8,50,25,45,55,79,36,39,95,33,35,91,16,87,44,70,99,71,51,90,93,92,38,9,2,49,75,83,65,32,28,76,56,59,97,17,34,15,46,23,40,43,19,57,52,22,53,29,81,10,27,1,85,21,69,24,63,14,54,47,64,11,80,31,77,84,4,66,41,61,37,48,42,62,12,86,89,94,7,30,18,0,96,78,6,74,58,88,20,3,13,60,5,98
17,35,27,24,55,92,82,54,12,71,97,45,69,79,83,5,47,63,86,72,15,96,7,23,14,34,66,4,68,1,41,52,20,80,70,88,18,29,57,50,78,67,90,56,37,31,93,73,87,11,3,39,65,22,26,89,84,46,61,48,30,36,9,13,10,91,81,58,99,75,49,25,40,62,60,16,33,8,95,44,19,6,38,64,32,77,53,98,51,59,28,76,2,85,94,43,42,0,74,21
63,7,68,34,21,27,18,17,59,19,70,33,9,11,97,67,49,37,88,90,66,40,76,81,57,85,79,77,14,87,89,41,31,38,92,48,42,22,26,86,91,5,51,61,52,96,2,99,23,35,54,24,16,71,44,73,43,25,36,60,55,39,65,15,6,98,0,50,10,78,53,8,72,83,47,74,58,4,69,29,56,80,20,1,12,82,3,75,32,46,93,45,64,62,84,28,13,94,30,95
8,2,66,14,88,79,39,29,63,3,84,91,96,27,76,43,28,48,57,40,18,98,0,56,72,46,93,75,69,26,32,58,34,85,67,82,52,78,62,38,13,15,21,42,12,50,5,6,92,80,81,11,60,77,55,22,16,35,49,37,73,95,20,61,19,44,94,64,65,71,1,83,59,41,33,4,97,53,31,47,70,30,90,74,7,10,86,25,54,9,17,36,68,99,23,24,51,87,89,45
49,57,48,74,78,29,8,66,12,51,5,90,31,72,33,86,65,45,77,63,40,80,36,10,94,38,34,58,4,73,35,99,76,81,75,22,54,61,64,25,32,26,83,14,60,47,92,68,69,7,67,15,89,16,2,13,24,85,27,53,30,87,9,96,93,21,79,71,44,62,28,11,88,91,50,95,39,70,23,46,0,59,41,98,55,37,6,82,20,3,84,17,1,18,97,42,19,43,56,52
10,62,54,69,68,34,85,83,43,32,40,81,72,31,86,84,6,99,53,71,45,13,79,33,19,66,97,61,30,15,56,3,4,16,1,87,17,52,35,44,29,95,76,74,48,50,0,75,73,12,63,46,8,24,5,51,21,59,9,18,90,58,36,94,64,25,27,70,47,96,60,80,42,37,7,14,88,2,89,77,28,41,49,65,57,98,78,22,92,55,93,39,20,67,26,11,91,23,82,38
36,42,9,61,20,25,58,75,2,43,1,93,64,96,95,52,92,40,60,76,90,53,17,22,26,71,19,18,88,37,35,78,87,11,13,99,31,5,3,54,39,81,66,82,34,0,83,73,29,80,8,74,84,15,62,50,69,68,97,7,46,44,45,30,27,85,21,91,28,48,12,89,94,70,23,38,77,16,56,59,51,32,57,24,55,14,49,98,65,67,86,6,47,4,10,72,41,33,79,63
69,97,79,28,74,36,61,37,70,72,8,77,25,7,14,89,76,20,11,59,32,2,1,67,55,17,21,80,3,91,78,68,90,54,15,92,93,13,58,62,94,75,87,34,40,57,64,81,83,46,18,66,6,33,52,98,51,73,19,24,56,86,84,96,42,22,45,99,4,0,48,10,5,44,53,60,41,88,82,27,26,16,31,49,47,85,12,39,35,65,63,71,23,30,9,50,95,43,29,38
87,54,24,9,26,83,91,16,8,53,97,40,4,70,78,86,27,96,7,3,45,15,35,2,11,23,88,39,80,18,95,59,19,98,50,93,25,1,36,58,6,90,73,82,29,46,60,84,49,31,41,57,71,99,81,56,5,30,61,44,28,38,48,66,89,75,12,77,34,37,20,0,64,13,79,85,33,47,51,14,72,63,52,92,42,43,68,65,10,94,62,74,76,21,17,22,32,55,67,69
15,91,49,89,68,78,77,43,84,52,95,46,13,12,31,23,18,92,38,69,48,94,76,19,29,73,44,3,16,85,4,1,7,28,63,54,6,59,14,82,45,79,88,36,66,35,62,83,17,34,74,53,90,60,39,10,70,37,71,93,87,11,64,72,25,26,75,9,97,96,2,61,30,99,33,24,22,21,42,80,27,8,47,65,51,50,20,86,98,58,41,40,55,57,56,0,81,67,5,32
