"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"joanA100","H",10,0.1,"GA","restart",-1755.43314,-1783.46303030303,51.8905050505051
"joanA100","H",10,0.1,"GA","ri",-1745.70244000098,-1790.25252525253,45.1010101010101
"joanA100","H",10,0.25,"GA","restart",-1755.35658,-1783.29777777778,52.0557575757576
"joanA100","H",10,0.25,"GA","ri",-1747.62038000023,-1782.65777777778,52.6957575757576
"joanA100","H",10,0.5,"GA","restart",-1755.39398,-1783.27090909091,52.0826262626263
"joanA100","H",10,0.5,"GA","ri",-1741.97062000002,-1779.87777777778,55.4757575757576
"joanA100","H",10,0.75,"GA","restart",-1755.4531,-1783.41919191919,51.9343434343434
"joanA100","H",10,0.75,"GA","ri",-1729.4791,-1780.42848484848,54.9250505050505
"joanA100","H",10,1,"GA","restart",-1755.35234,-1783.22424242424,52.1292929292929
"joanA100","H",10,1,"GA","ri",-1695.23232,-1780.91595959596,54.4375757575758
"joanA100","H",25,0.1,"GA","restart",-1765.08666,-1820.56769230769,43.0220512820513
"joanA100","H",25,0.1,"GA","ri",-1759.42634000087,-1828.43794871795,35.1517948717949
"joanA100","H",25,0.25,"GA","restart",-1764.90794,-1820.20461538462,43.3851282051282
"joanA100","H",25,0.25,"GA","ri",-1754.37774000039,-1819.3441025641,44.245641025641
"joanA100","H",25,0.5,"GA","restart",-1764.95178,-1820.35435897436,43.2353846153846
"joanA100","H",25,0.5,"GA","ri",-1751.18956000007,-1817.24,46.3497435897436
"joanA100","H",25,0.75,"GA","restart",-1765.2352,-1820.6358974359,42.9538461538462
"joanA100","H",25,0.75,"GA","ri",-1746.26264,-1818.16564102564,45.4241025641026
"joanA100","H",25,1,"GA","restart",-1765.08652,-1820.63435897436,42.9553846153846
"joanA100","H",25,1,"GA","ri",-1738.96524,-1818.6117948718,44.9779487179487
"joanA100","H",50,0.1,"GA","restart",-1771.59772,-1875.1747368421,37.4568421052632
"joanA100","H",50,0.1,"GA","ri",-1776.97730000041,-1885.37473684211,27.2568421052632
"joanA100","H",50,0.25,"GA","restart",-1771.72194,-1875.29684210526,37.3347368421053
"joanA100","H",50,0.25,"GA","ri",-1767.33752000022,-1876.1,36.5315789473684
"joanA100","H",50,0.5,"GA","restart",-1771.71438,-1875.15789473684,37.4736842105263
"joanA100","H",50,0.5,"GA","ri",-1763.25640000004,-1872.87894736842,39.7526315789474
"joanA100","H",50,0.75,"GA","restart",-1771.70934,-1875.47263157895,37.1589473684211
"joanA100","H",50,0.75,"GA","ri",-1761.53502,-1874.06421052632,38.5673684210526
"joanA100","H",50,1,"GA","restart",-1771.87434,-1875.38631578947,37.2452631578947
"joanA100","H",50,1,"GA","ri",-1758.51602,-1874.26736842105,38.3642105263158
"joanA100","H",100,0.1,"GA","restart",-1779.22804,-1989.46666666667,29.4222222222222
"joanA100","H",100,0.1,"GA","ri",-1788.25856000021,-1998.47111111111,20.4177777777778
"joanA100","H",100,0.25,"GA","restart",-1779.10902,-1989.26888888889,29.62
