"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"joanB100","H",10,0.1,"GA","restart",-1678.49788,-1706.60606060606,56.020202020202
"joanB100","H",10,0.1,"GA","ri",-1670.56212000097,-1714.94949494949,47.6767676767677
"joanB100","H",10,0.25,"GA","restart",-1678.68276,-1706.6698989899,55.9563636363636
"joanB100","H",10,0.25,"GA","ri",-1669.9381400003,-1706.32585858586,56.300404040404
"joanB100","H",10,0.5,"GA","restart",-1678.69008,-1706.65434343434,55.9719191919192
"joanB100","H",10,0.5,"GA","ri",-1664.90800000002,-1702.95393939394,59.6723232323232
"joanB100","H",10,0.75,"GA","restart",-1678.6362,-1706.70646464646,55.919797979798
"joanB100","H",10,0.75,"GA","ri",-1652.79264,-1703.27434343434,59.3519191919192
"joanB100","H",10,1,"GA","restart",-1678.49782,-1706.47252525252,56.1537373737374
"joanB100","H",10,1,"GA","ri",-1620.50386,-1703.91171717172,58.7145454545455
"joanB100","H",25,0.1,"GA","restart",-1689.59426530612,-1744.15750915751,45.5860805860806
"joanB100","H",25,0.1,"GA","ri",-1685.25418367433,-1753.02982731554,36.7137624280481
"joanB100","H",25,0.25,"GA","restart",-1689.35622,-1744.01487179487,45.7287179487179
"joanB100","H",25,0.25,"GA","ri",-1678.58814000043,-1743.40256410256,46.3410256410256
"joanB100","H",25,0.5,"GA","restart",-1689.10688,-1743.74974358974,45.9938461538462
"joanB100","H",25,0.5,"GA","ri",-1675.26888000008,-1740.58307692308,49.1605128205128
"joanB100","H",25,0.75,"GA","restart",-1689.18173469388,-1743.85504971219,45.8885400313972
"joanB100","H",25,0.75,"GA","ri",-1671.03408163265,-1741.69021454736,48.0533751962323
"joanB100","H",25,1,"GA","restart",-1689.40612,-1744.00512820513,45.7384615384615
"joanB100","H",25,1,"GA","ri",-1664.05836,-1742.28923076923,47.454358974359
"joanB100","H",50,0.1,"GA","restart",-1696.78324,-1797.18210526316,39.66
"joanB100","H",50,0.1,"GA","ri",-1701.96796000045,-1807.13052631579,29.7115789473684
"joanB100","H",50,0.25,"GA","restart",-1696.58504,-1796.79157894737,40.0505263157895
"joanB100","H",50,0.25,"GA","ri",-1692.41098000024,-1798.29578947368,38.5463157894737
"joanB100","H",50,0.5,"GA","restart",-1697.2365,-1797.53578947368,39.3063157894737
"joanB100","H",50,0.5,"GA","ri",-1688.34126000006,-1794.88526315789,41.9568421052632
"joanB100","H",50,0.75,"GA","restart",-1696.63432,-1796.94736842105,39.8947368421053
"joanB100","H",50,0.75,"GA","ri",-1686.5735,-1795.56736842105,41.2747368421053
"joanB100","H",50,1,"GA","restart",-1696.76704,-1797.01368421053,39.8284210526316
"joanB100","H",50,1,"GA","ri",-1683.438,-1795.82947368421,41.0126315789474
"joanB100","H",100,0.1,"GA","restart",-1704.44194,-1906.11555555556,32.7733333333333
"joanB100","H",100,0.1,"GA","ri",-1712.43842000023,-1914.56,24.3288888888889
"joanB100","H",100,0.25,"GA","restart",-1704.56044,-1906.18222222222,32.7066666666667
"joanB100","H",100,0.25,"GA","ri",-1703.47980000014,-1908.10666666667,30.7822222222222
"joanB100","H",100,0.5,"GA","restart",-1704.7925,-1906.52444444444,32.3644444444444
"joanB100","H",100,0.5,"GA","ri",-1699.67956000002,-1905.10444444444,33.7844444444444
"joanB100","H",100,0.75,"GA","restart",-1704.15998,-1906.17777777778,32.7111111111111
"joanB100","H",100,0.75,"GA","ri",-1698.67516,-1905.01111111111,33.8777777777778
"joanB100","H",100,1,"GA","restart",-1704.21142,-1906.24,32.6488888888889
"joanB100","H",100,1,"GA","ri",-1697.34144,-1904.90888888889,33.98
"joanB100","H",200,0.1,"GA","restart",-1712.68254,-2156.235,25.015
"joanB100","H",200,0.1,"GA","ri",-1720.11506000009,-2161.195,20.055
"joanB100","H",200,0.25,"GA","restart",-1712.29738,-2155.48,25.77
"joanB100","H",200,0.25,"GA","ri",-1713.68168000005,-2156.52,24.73
