"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"joanC100","H",10,0.1,"GA","restart",-1690.78686,-1718.56828282828,52.1387878787879
"joanC100","H",10,0.1,"GA","ri",-1682.48598000096,-1726.34121212121,44.3658585858586
"joanC100","H",10,0.25,"GA","restart",-1690.88874,-1718.65797979798,52.0490909090909
"joanC100","H",10,0.25,"GA","ri",-1682.60744000027,-1717.92848484849,52.7785858585859
"joanC100","H",10,0.5,"GA","restart",-1690.82296,-1718.6597979798,52.0472727272727
"joanC100","H",10,0.5,"GA","ri",-1677.28022000003,-1714.98787878788,55.7191919191919
"joanC100","H",10,0.75,"GA","restart",-1690.7895,-1718.62585858586,52.0812121212121
"joanC100","H",10,0.75,"GA","ri",-1665.56298,-1715.27535353535,55.4317171717172
"joanC100","H",10,1,"GA","restart",-1690.79868,-1718.59232323232,52.1147474747475
"joanC100","H",10,1,"GA","ri",-1632.68088,-1716.13636363636,54.5707070707071
"joanC100","H",25,0.1,"GA","restart",-1701.09472,-1755.49435897436,42.454358974359
"joanC100","H",25,0.1,"GA","ri",-1697.64782000083,-1764.65794871795,33.2907692307692
"joanC100","H",25,0.25,"GA","restart",-1701.24966,-1755.76564102564,42.1830769230769
"joanC100","H",25,0.25,"GA","ri",-1690.59258000041,-1755.04769230769,42.9010256410256
"joanC100","H",25,0.5,"GA","restart",-1701.1893,-1755.69743589744,42.2512820512821
"joanC100","H",25,0.5,"GA","ri",-1686.70490000008,-1752.03846153846,45.9102564102564
"joanC100","H",25,0.75,"GA","restart",-1701.10978,-1755.69384615385,42.2548717948718
"joanC100","H",25,0.75,"GA","ri",-1682.76412,-1753.14820512821,44.8005128205128
"joanC100","H",25,1,"GA","restart",-1701.07754,-1755.68512820513,42.2635897435897
"joanC100","H",25,1,"GA","ri",-1675.71796,-1753.60358974359,44.3451282051282
"joanC100","H",50,0.1,"GA","restart",-1708.26602,-1808.93789473684,36.3252631578947
"joanC100","H",50,0.1,"GA","ri",-1712.66120000046,-1818.78736842105,26.4757894736842
"joanC100","H",50,0.25,"GA","restart",-1708.41553061224,-1808.9462943072,36.3168635875403
"joanC100","H",50,0.25,"GA","ri",-1703.26410204106,-1809.2567132116,36.0064446831364
"joanC100","H",50,0.5,"GA","restart",-1708.11724,-1808.77263157895,36.4905263157895
