"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"kroA150","H",10,0.1,"GA","restart",207173.08976,191605.303838384,164813.384646465
"kroA150","H",10,0.1,"GA","ri",159504.41406,153640.550909091,126848.631717172
"kroA150","H",10,0.25,"GA","restart",207122.60236,191592.98969697,164801.070505051
"kroA150","H",10,0.25,"GA","ri",185625.63748,175141.696565657,148349.777373737
"kroA150","H",10,0.5,"GA","restart",207242.80186,191732.394343434,164940.475151515
"kroA150","H",10,0.5,"GA","ri",202113.76712,187466.032323232,160674.113131313
"kroA150","H",10,0.75,"GA","restart",207190.34112,191700.006666667,164908.087474748
"kroA150","H",10,0.75,"GA","ri",207955.504,191768.391717172,164976.472525252
"kroA150","H",10,1,"GA","restart",207212.4771,191693.487676768,164901.568484849
"kroA150","H",10,1,"GA","ri",209310.96334,192610.466868687,165818.547676768
"kroA150","H",25,0.1,"GA","restart",185999.22844,163780.216923077,136576.114358974
"kroA150","H",25,0.1,"GA","ri",134723.48242,127875.061025641,100670.958461539
"kroA150","H",25,0.25,"GA","restart",186119.48156,163980.699487179,136776.596923077
"kroA150","H",25,0.25,"GA","ri",160952.07432,147300.532307692,120096.42974359
"kroA150","H",25,0.5,"GA","restart",186317.22398,164158.456923077,136954.354358974
"kroA150","H",25,0.5,"GA","ri",179244.58008,159297.526666667,132093.424102564
"kroA150","H",25,0.75,"GA","restart",186146.41882,164099.64974359,136895.547179487
"kroA150","H",25,0.75,"GA","ri",186373.1517,163669.838974359,136465.736410256
"kroA150","H",25,1,"GA","restart",186108.33688,164094.186153846,136890.083589744
"kroA150","H",25,1,"GA","ri",187743.9686,164452.334871795,137248.232307692
"kroA150","H",50,0.1,"GA","restart",165633.89092,141704.894736842,113784.894736842
"kroA150","H",50,0.1,"GA","ri",117513.68052,111522.095789474,83602.0957894737
"kroA150","H",50,0.25,"GA","restart",165749.10008,141872.918947368,113952.918947368
"kroA150","H",50,0.25,"GA","ri",141114.31924,127575.835789474,99655.8357894737
"kroA150","H",50,0.5,"GA","restart",165714.8022,142083.853684211,114163.853684211
